start,end,score,VarName4
00:36:45,00:00:02,0.234,Invalid
00:00:03,00:00:07,0.566,Invalid
00:00:09,00:00:13,0.191,Invalid
00:00:14,00:00:18,0.004,Invalid
00:00:20,00:00:24,0.172,Noise
00:00:26,00:00:30,0.059,Noise
00:00:31,00:00:35,0.008,Noise
00:00:37,00:00:41,0.234,Noise
00:00:43,00:00:47,0.043,Noise
00:00:48,00:00:52,0.109,Noise
00:00:54,00:00:58,0.004,Noise
00:00:59,00:01:03,0.137,Noise
00:01:05,00:01:09,0.004,Noise
00:01:11,00:01:15,0.012,Noise
00:01:16,00:01:20,0.02,Noise
00:01:22,00:01:26,0.031,Noise
00:01:28,00:01:32,0.004,Noise
00:01:33,00:01:37,0.004,Noise
00:01:39,00:01:43,0.656,Noise
00:01:44,00:01:49,0.004,Noise
00:01:50,00:01:54,0.055,Noise
00:01:56,00:02:00,0.234,Noise
00:02:01,00:02:05,0.598,Noise
00:02:07,00:02:11,0.043,Noise
00:02:13,00:02:17,0.234,Noise
00:02:18,00:02:22,0.531,LNT
00:02:24,00:02:28,0.172,LNT
00:02:30,00:02:34,0.469,LNT
00:02:35,00:02:39,0.043,LNT
00:02:41,00:02:45,0.766,LNT
00:02:46,00:02:51,0.922,LNT
00:02:52,00:02:56,0.742,LNT
00:02:58,00:03:02,0.688,LNT
00:03:03,00:03:07,0.285,LNT
00:03:09,00:03:13,0.863,LNT
00:03:15,00:03:19,0.996,LNT
00:03:20,00:03:24,0.945,LNT
00:03:26,00:03:30,0.742,LNT
00:03:31,00:03:36,0.531,LNT
00:03:37,00:03:41,0.766,LNT
00:03:43,00:03:47,0.285,LNT
00:03:48,00:03:52,0.879,LNT
00:03:54,00:03:58,0.055,LNT
00:04:00,00:04:04,0.191,LNT
00:04:05,00:04:09,0.953,LNT
00:04:11,00:04:15,0.941,LNT
00:04:17,00:04:21,0.285,Noise
00:04:22,00:04:26,0.656,Noise
00:04:28,00:04:32,0.234,Noise
00:04:33,00:04:38,0.234,Noise
00:04:39,00:04:43,0.152,Noise
00:04:45,00:04:49,0.258,Noise
00:04:50,00:04:54,0.234,Noise
00:04:56,00:05:00,0.285,Noise
00:05:02,00:05:06,0.258,Noise
00:05:07,00:05:11,0.152,Noise
00:05:13,00:05:17,0.191,Noise
00:05:19,00:05:23,0.285,Noise
00:05:24,00:05:28,0.402,Noise
00:05:30,00:05:34,0.809,Noise
00:05:35,00:05:39,0.434,Noise
00:05:41,00:05:45,0.312,Noise
00:05:47,00:05:51,0.191,Noise
00:05:52,00:05:56,0.312,Noise
00:05:58,00:06:02,0.234,Noise
