start,end,score
00:08:11,00:00:01,0.004,Invalid
00:00:03,00:00:05,0.047,Invalid
00:00:06,00:00:08,0.09,Invalid
00:00:10,00:00:12,0.012,Invalid
00:00:13,00:00:15,0.004,Invalid
00:00:17,00:00:19,0.715,Noise
00:00:20,00:00:22,0.242,Noise
00:00:24,00:00:26,0.203,Noise
00:00:28,00:00:30,0.387,Noise
00:00:31,00:00:33,0.863,Noise
00:00:35,00:00:37,0.441,Noise
00:00:38,00:00:40,0.336,Noise
00:00:42,00:00:44,0.715,Noise
00:00:46,00:00:48,0.004,Noise
00:00:49,00:00:51,0.988,Noise
00:00:53,00:00:55,0.797,Noise
00:00:56,00:00:58,0.941,Noise
00:01:00,00:01:02,0.059,Noise
00:01:04,00:01:05,0.137,Noise
00:01:07,00:01:09,0.023,Noise
00:01:11,00:01:13,0.926,Noise
00:01:14,00:01:16,0.285,Noise
00:01:18,00:01:20,0.113,Noise
00:01:21,00:01:23,0.336,Noise
00:01:25,00:01:27,0.047,Noise
00:01:29,00:01:31,0,Noise
00:01:32,00:01:34,0.441,Noise
00:01:36,00:01:38,0.137,Noise
00:01:39,00:01:41,0.242,Noise
00:01:43,00:01:45,0.977,Noise
00:01:47,00:01:48,0.203,Noise
00:01:50,00:01:52,0.242,Noise
00:01:54,00:01:56,0.008,Noise
00:01:57,00:01:59,0.008,Noise
00:02:01,00:02:03,0.664,Noise
00:02:04,00:02:06,0.008,Noise
00:02:08,00:02:10,0.137,Noise
00:02:12,00:02:14,0.031,Noise
00:02:15,00:02:17,0.984,LNT
00:02:19,00:02:21,0.715,LNT
00:02:22,00:02:24,0.992,LNT
00:02:26,00:02:28,0.961,LNT
00:02:30,00:02:31,0.996,LNT
00:02:33,00:02:35,0.984,LNT
00:02:37,00:02:39,0.441,LNT
00:02:40,00:02:42,0.715,LNT
00:02:44,00:02:46,0.758,LNT
00:02:47,00:02:49,0.984,LNT
00:02:51,00:02:53,0.969,LNT
00:02:55,00:02:57,0.969,LNT
00:02:58,00:03:00,0.996,LNT
00:03:02,00:03:04,0.664,LNT
00:03:05,00:03:07,0.715,LNT
00:03:09,00:03:11,0.832,LNT
00:03:13,00:03:14,0.996,LNT
00:03:16,00:03:18,0.441,LNT
00:03:20,00:03:22,0.941,LNT
00:03:23,00:03:25,0.98,LNT
00:03:27,00:03:29,0.387,LNT
00:03:30,00:03:32,0.797,LNT
00:03:34,00:03:36,0.941,LNT
00:03:38,00:03:40,0.832,LNT
00:03:41,00:03:43,0.832,LNT
00:03:45,00:03:47,0.832,LNT
00:03:48,00:03:50,0.996,LNT
00:03:52,00:03:54,0.863,LNT
00:03:56,00:03:58,0.559,LNT
00:03:59,00:04:01,0.441,LNT
00:04:03,00:04:05,0.441,LNT
00:04:06,00:04:08,0.996,LNT
00:04:10,00:04:12,0.992,LNT
00:04:13,00:04:15,0.996,LNT
00:04:17,00:04:19,0.664,Noise
00:04:21,00:04:23,0.664,Noise
00:04:24,00:04:26,0.992,Noise
00:04:28,00:04:30,0.988,Noise
00:04:31,00:04:33,0.797,Noise
00:04:35,00:04:37,0.953,Noise
00:04:39,00:04:41,0.98,Noise
00:04:42,00:04:44,0.969,Noise
00:04:46,00:04:48,0.996,Noise
00:04:49,00:04:51,0.953,Noise
00:04:53,00:04:55,0.926,Noise
00:04:56,00:04:58,0.969,Noise
00:05:00,00:05:02,0.941,Noise
00:05:04,00:05:06,0.996,Noise
00:05:07,00:05:09,0.832,Noise
00:05:11,00:05:13,0.613,Noise
00:05:14,00:05:16,0.758,Noise
00:05:18,00:05:20,0.941,Noise
00:05:22,00:05:24,0.91,Noise
00:05:25,00:05:27,0.715,Noise
00:05:29,00:05:31,0.996,Noise
00:05:32,00:05:34,0.961,Noise
00:05:36,00:05:38,0.969,Noise
00:05:39,00:05:41,0.996,Noise
00:05:43,00:05:45,0.992,Noise
00:05:47,00:05:49,0.992,Noise
00:05:50,00:05:52,0.941,Noise
00:05:54,00:05:56,0.992,Noise
00:05:57,00:05:59,0.285,Noise
00:06:01,00:06:03,0.863,Noise
00:06:05,00:06:07,0.613,Noise
00:06:08,00:06:10,0.758,Noise
00:06:12,00:06:14,0.91,Noise
00:06:15,00:06:17,0.996,LNT
00:06:19,00:06:21,0.996,LNT
00:06:22,00:06:24,0.996,LNT
00:06:26,00:06:28,0.996,LNT
00:06:30,00:06:32,0.996,LNT
00:06:33,00:06:35,0.996,LNT
00:06:37,00:06:39,0.996,LNT
00:06:40,00:06:42,0.996,LNT
00:06:44,00:06:46,0.996,LNT
