start,end,score
00:00:01,00:00:03,0.004,Invalid
00:00:04,00:00:06,0.02,Invalid
00:00:07,00:00:09,0.008,Invalid
00:00:10,00:00:12,0.059,Invalid
00:00:13,00:00:15,0.004,Invalid
00:00:16,00:00:18,0.043,Noise
00:00:19,00:00:21,0.082,Noise
00:00:23,00:00:25,0.301,Noise
00:00:26,00:00:28,0.559,Noise
00:00:29,00:00:31,0.039,Noise
00:00:32,00:00:34,0.059,Noise
00:00:35,00:00:37,0.746,Noise
00:00:38,00:00:40,0.008,Noise
00:00:41,00:00:43,0.156,Noise
00:00:44,00:00:46,0.047,Noise
00:00:47,00:00:49,0.055,Noise
00:00:50,00:00:52,0.004,Noise
00:00:53,00:00:55,0.082,Noise
00:00:56,00:00:58,0.008,Noise
00:00:59,00:01:01,0.004,Noise
00:01:02,00:01:04,0.004,Noise
00:01:06,00:01:08,0.02,Noise
00:01:09,00:01:11,0.129,Noise
00:01:12,00:01:14,0.047,Noise
00:01:15,00:01:17,0.355,Noise
00:01:18,00:01:20,0.211,Noise
00:01:21,00:01:23,0.012,Noise
00:01:24,00:01:26,0.004,Noise
00:01:27,00:01:29,0.141,Noise
00:01:30,00:01:32,0.004,Noise
00:01:33,00:01:35,0.082,Noise
00:01:36,00:01:38,0.074,Noise
00:01:39,00:01:41,0.016,Noise
00:01:42,00:01:44,0.094,Noise
00:01:45,00:01:47,0.02,Noise
00:01:49,00:01:51,0.004,Noise
00:01:52,00:01:54,0.012,Noise
00:01:55,00:01:57,0.004,Noise
00:01:58,00:02:00,0.004,Noise
00:02:01,00:02:03,0.004,Noise
00:02:04,00:02:06,0.004,Noise
00:02:07,00:02:09,0.004,Noise
00:02:10,00:02:12,0.012,Noise
00:02:13,00:02:15,0.02,Noise
00:02:16,00:02:18,0.156,LNT
00:02:19,00:02:21,0.102,LNT
00:02:22,00:02:24,0.113,LNT
00:02:25,00:02:27,0.301,LNT
00:02:28,00:02:31,0.441,LNT
00:02:32,00:02:34,0.672,LNT
00:02:35,00:02:37,0.469,LNT
00:02:38,00:02:40,0.172,LNT
00:02:41,00:02:43,0.172,LNT
00:02:44,00:02:46,0.355,LNT
00:02:47,00:02:49,0.41,LNT
00:02:50,00:02:52,0.469,LNT
00:02:53,00:02:55,0.469,LNT
00:02:56,00:02:58,0.355,LNT
00:02:59,00:03:01,0.23,LNT
00:03:02,00:03:04,0.191,LNT
00:03:05,00:03:07,0.531,LNT
00:03:08,00:03:10,0.211,LNT
00:03:12,00:03:14,0.945,LNT
00:03:15,00:03:17,0.59,LNT
00:03:18,00:03:20,0.355,LNT
00:03:21,00:03:23,0.113,LNT
00:03:24,00:03:26,0.016,LNT
00:03:27,00:03:29,0.355,LNT
00:03:30,00:03:32,0.277,LNT
00:03:33,00:03:35,0.531,LNT
00:03:36,00:03:38,0.277,LNT
00:03:39,00:03:41,0.141,LNT
00:03:42,00:03:44,0.156,LNT
00:03:45,00:03:47,0.559,LNT
00:03:48,00:03:50,0.254,LNT
00:03:51,00:03:53,0.645,LNT
00:03:55,00:03:57,0.254,LNT
00:03:58,00:04:00,0.383,LNT
00:04:01,00:04:03,0.328,LNT
00:04:04,00:04:06,0,LNT
00:04:07,00:04:09,0.789,LNT
00:04:10,00:04:12,0.141,LNT
00:04:13,00:04:15,0.559,LNT
00:04:16,00:04:18,0.41,Noise
00:04:19,00:04:21,0.301,Noise
00:04:22,00:04:24,0.961,Noise
00:04:25,00:04:27,0.699,Noise
00:04:28,00:04:30,0.301,Noise
00:04:31,00:04:33,0.469,Noise
00:04:34,00:04:36,0.559,Noise
00:04:38,00:04:40,0.211,Noise
00:04:41,00:04:43,0.59,Noise
00:04:44,00:04:46,0.871,Noise
00:04:47,00:04:49,0.809,Noise
00:04:50,00:04:52,0.559,Noise
00:04:53,00:04:55,0.617,Noise
00:04:56,00:04:58,0.004,Noise
00:04:59,00:05:01,0.191,Noise
00:05:02,00:05:04,0.055,Noise
00:05:05,00:05:07,0.918,Noise
00:05:08,00:05:10,0.023,Noise
00:05:11,00:05:13,0.004,Noise
00:05:14,00:05:16,0.828,Noise
00:05:17,00:05:19,0.211,Noise
00:05:21,00:05:23,0.746,Noise
00:05:24,00:05:26,0.809,Noise
00:05:27,00:05:29,0.844,Noise
00:05:30,00:05:32,0.906,Noise
00:05:33,00:05:35,0.645,Noise
00:05:36,00:05:38,0.129,Noise
00:05:39,00:05:41,0.953,Noise
00:05:42,00:05:44,0.789,Noise
00:05:45,00:05:47,0.859,Noise
00:05:48,00:05:50,0.957,Noise
00:05:51,00:05:53,0.918,Noise
00:05:54,00:05:56,0.859,Noise
00:05:57,00:05:59,0.008,Noise
00:06:00,00:06:02,0,Noise
00:06:04,00:06:06,0.469,Noise
00:06:07,00:06:09,0.004,Noise
00:06:10,00:06:12,0.094,Noise
00:06:13,00:06:15,0.887,Noise
00:06:16,00:06:18,0.977,LNT
00:06:19,00:06:21,0.066,LNT
00:06:22,00:06:24,0.941,LNT
00:06:25,00:06:27,0.953,LNT
00:06:28,00:06:30,0.988,LNT
00:06:31,00:06:33,0.617,LNT
00:06:34,00:06:36,0.945,LNT
00:06:37,00:06:39,0.035,LNT
00:06:40,00:06:42,0.055,LNT
00:06:43,00:06:45,0.918,LNT
00:06:47,00:06:49,0.844,LNT
00:06:50,00:06:52,0.277,LNT
00:06:53,00:06:55,0.699,LNT
00:06:56,00:06:58,0.992,LNT
00:06:59,00:07:01,0.996,LNT
00:07:02,00:07:04,0.355,LNT
00:07:05,00:07:07,0.859,LNT
00:07:08,00:07:10,0.211,LNT
00:07:11,00:07:13,0.934,LNT
00:07:14,00:07:16,0.328,LNT
00:07:17,00:07:19,0.617,LNT
00:07:20,00:07:22,0.074,LNT
00:07:23,00:07:25,0.004,LNT
00:07:26,00:07:28,0.723,LNT
00:07:30,00:07:32,0.645,LNT
00:07:33,00:07:35,0.441,LNT
00:07:36,00:07:38,0.191,LNT
00:07:39,00:07:41,0.531,LNT
00:07:42,00:07:44,0.469,LNT
00:07:45,00:07:47,0.789,LNT
00:07:48,00:07:50,0.031,LNT
00:07:51,00:07:53,0.844,LNT
00:07:54,00:07:56,0.441,LNT
00:07:57,00:07:59,0.965,LNT
00:08:00,00:08:02,0.277,LNT
00:08:03,00:08:05,0.871,LNT
00:08:06,00:08:08,0.898,LNT
00:08:09,00:08:11,0.977,LNT
00:08:13,00:08:15,0.988,LNT
00:08:16,00:08:18,0.102,Noise
00:08:19,00:08:21,0.094,Noise
00:08:22,00:08:24,0.094,Noise
00:08:25,00:08:27,0.328,Noise
00:08:28,00:08:30,0.211,Noise
00:08:31,00:08:33,0.531,Noise
00:08:34,00:08:36,0.41,Noise
00:08:37,00:08:39,0.301,Noise
00:08:40,00:08:42,0.094,Noise
00:08:43,00:08:45,0.043,Noise
00:08:46,00:08:48,0.055,Noise
00:08:49,00:08:51,0.074,Noise
00:08:52,00:08:55,0.004,Noise
00:08:56,00:08:58,0.016,Noise
00:08:59,00:09:01,0.02,Noise
00:09:02,00:09:04,0.008,Noise
00:09:05,00:09:07,0.012,Noise
