start,end,score
00:00:01,00:00:03,0.0,Invalid
00:00:04,00:00:06,0.031,Invalid
00:00:07,00:00:09,0.004,Invalid
00:00:11,00:00:13,0.496,Invalid
00:00:14,00:00:16,0.004,Invalid
00:00:17,00:00:19,0.008,Noise
00:00:21,00:00:23,0.145,Noise
00:00:24,00:00:26,0.113,Noise
00:00:27,00:00:29,0.219,Noise
00:00:31,00:00:33,0.082,Noise
00:00:34,00:00:36,0.254,Noise
00:00:37,00:00:39,0.062,Noise
00:00:41,00:00:43,0.348,Noise
00:00:44,00:00:46,0.926,Noise
00:00:47,00:00:49,0.328,Noise
00:00:51,00:00:53,0.004,Noise
00:00:54,00:00:56,0.258,Noise
00:00:57,00:00:59,0.012,Noise
00:01:01,00:01:03,0.004,Noise
00:01:04,00:01:06,0.016,Noise
00:01:07,00:01:09,0.016,Noise
00:01:10,00:01:13,0.238,Noise
00:01:14,00:01:16,0.82,Noise
00:01:17,00:01:19,0.004,Noise
00:01:20,00:01:23,0.012,Noise
00:01:24,00:01:26,0.629,Noise
00:01:27,00:01:29,0.016,Noise
00:01:30,00:01:33,0.141,Noise
00:01:34,00:01:36,0.043,Noise
00:01:37,00:01:39,0.629,Noise
00:01:40,00:01:42,0.055,Noise
00:01:44,00:01:46,0.004,Noise
00:01:47,00:01:49,0.047,Noise
00:01:50,00:01:52,0.023,Noise
00:01:54,00:01:56,0.004,Noise
00:01:57,00:01:59,0.359,Noise
00:02:00,00:02:02,0.246,Noise
00:02:04,00:02:06,0.016,Noise
00:02:07,00:02:09,0.008,Noise
00:02:10,00:02:12,0.023,Noise
00:02:14,00:02:16,0.312,Noise
00:02:17,00:02:19,0.094,LNT
00:02:20,00:02:22,0.371,LNT
00:02:24,00:02:26,0.414,LNT
00:02:27,00:02:29,0.875,LNT
00:02:30,00:02:32,0.805,LNT
00:02:34,00:02:36,0.133,LNT
00:02:37,00:02:39,0.496,LNT
00:02:40,00:02:42,0.461,LNT
00:02:44,00:02:46,0.922,LNT
00:02:47,00:02:49,0.812,LNT
00:02:50,00:02:52,0.875,LNT
00:02:54,00:02:56,0.949,LNT
00:02:57,00:02:59,0.789,LNT
00:03:00,00:03:02,0.719,LNT
00:03:04,00:03:06,0.766,LNT
00:03:07,00:03:09,0.867,LNT
00:03:10,00:03:12,0.547,LNT
00:03:14,00:03:16,0.754,LNT
00:03:17,00:03:19,0.059,LNT
00:03:20,00:03:22,0.094,LNT
00:03:24,00:03:26,0.254,LNT
00:03:27,00:03:29,0.098,LNT
00:03:30,00:03:32,0.961,LNT
00:03:34,00:03:36,0.641,LNT
00:03:37,00:03:39,0.508,LNT
00:03:40,00:03:42,0.535,LNT
00:03:44,00:03:46,0.191,LNT
00:03:47,00:03:49,0.457,LNT
00:03:50,00:03:52,0.152,LNT
00:03:54,00:03:56,0.312,LNT
00:03:57,00:03:59,0,LNT
00:04:00,00:04:02,0.969,LNT
00:04:04,00:04:06,0.617,LNT
00:04:07,00:04:09,0.934,LNT
00:04:10,00:04:12,0.863,LNT
00:04:14,00:04:16,0.949,LNT
00:04:17,00:04:19,0.004,Noise
00:04:20,00:04:22,0.004,Noise
00:04:24,00:04:26,0.0,Noise
00:04:27,00:04:29,0.0,Noise
00:04:30,00:04:32,0.008,Noise
00:04:33,00:04:36,0.008,Noise
00:04:37,00:04:39,0.008,Noise
00:04:40,00:04:42,0.004,Noise
00:04:43,00:04:46,0.004,Noise
00:04:47,00:04:49,0.023,Noise
00:04:50,00:04:52,0.004,Noise
00:04:53,00:04:56,0.008,Noise
00:04:57,00:04:59,0.012,Noise
00:05:00,00:05:02,0.004,Noise
00:05:03,00:05:05,0.012,Noise
00:05:07,00:05:09,0.004,Noise
00:05:10,00:05:12,0.012,Noise
00:05:13,00:05:15,0.008,Noise
00:05:17,00:05:19,0.0,Noise
00:05:20,00:05:22,0.008,Noise
00:05:23,00:05:25,0.012,Noise
00:05:27,00:05:29,0.0,Noise
00:05:30,00:05:32,0.012,Noise
00:05:33,00:05:35,0.02,Noise
00:05:37,00:05:39,0.004,Noise
00:05:40,00:05:42,0.016,Noise
00:05:43,00:05:45,0.008,Noise
00:05:47,00:05:49,0.125,Noise
00:05:50,00:05:52,0.004,Noise
00:05:53,00:05:55,0.02,Noise
00:05:57,00:05:59,0.012,Noise
00:06:00,00:06:02,0.023,Noise
00:06:03,00:06:05,0.008,Noise
00:06:07,00:06:09,0.004,Noise
00:06:10,00:06:12,0.004,Noise
00:06:13,00:06:15,0.004,Noise
00:06:17,00:06:19,0.996,LNT
00:06:20,00:06:22,0.957,LNT
00:06:23,00:06:25,0.996,LNT
00:06:27,00:06:29,0.996,LNT
00:06:30,00:06:32,0.996,LNT
00:06:33,00:06:35,0.996,LNT
00:06:37,00:06:39,0.988,LNT
00:06:40,00:06:42,0.996,LNT
00:06:43,00:06:45,0.988,LNT
00:06:47,00:06:49,0.996,LNT
00:06:50,00:06:52,0.992,LNT
00:06:53,00:06:55,0.992,LNT
00:06:57,00:06:59,0.992,LNT
00:07:00,00:07:02,0.996,LNT
00:07:03,00:07:05,0.98,LNT
00:07:07,00:07:09,0.996,LNT
00:07:10,00:07:12,0.992,LNT
00:07:13,00:07:15,0.996,LNT
00:07:17,00:07:19,0.992,LNT
00:07:20,00:07:22,0.973,LNT
00:07:23,00:07:25,0.996,LNT
00:07:27,00:07:29,0.996,LNT
00:07:30,00:07:32,0.996,LNT
00:07:33,00:07:35,0.984,LNT
00:07:37,00:07:39,0.98,LNT
00:07:40,00:07:42,0.996,LNT
00:07:43,00:07:45,0.996,LNT
00:07:47,00:07:49,0.984,LNT
00:07:50,00:07:52,0.996,LNT
00:07:53,00:07:55,0.996,LNT
00:07:57,00:07:59,0.996,LNT
00:08:00,00:08:02,0.988,LNT
00:08:03,00:08:05,0.996,LNT
00:08:06,00:08:09,0.996,LNT
00:08:10,00:08:12,0.992,LNT
00:08:13,00:08:15,0.996,LNT
00:08:16,00:08:19,0.012,Noise
00:08:20,00:08:22,0.641,Noise
00:08:23,00:08:25,0.18,Noise
00:08:26,00:08:28,0.031,Noise
00:08:30,00:08:32,0.047,Noise
00:08:33,00:08:35,0,Noise
00:08:36,00:08:38,0.031,Noise
00:08:40,00:08:42,0.086,Noise
00:08:43,00:08:45,0.129,Noise
00:08:46,00:08:48,0.02,Noise
00:08:50,00:08:52,0.031,Noise
00:08:53,00:08:55,0.02,Noise
00:08:56,00:08:58,0.008,Noise
00:09:00,00:09:02,0.004,Noise
