start,end,type
00:00:00,00:00:15,Invalid
00:00:16,00:02:15,Noise
00:02:16,00:04:15,LNT
00:04:16,00:06:15,Noise
00:06:16,00:08:15,LNT
00:08:16,00:10:15,Noise
00:10:16,00:12:15,Noise
00:12:16,00:14:15,Noise
00:14:16,00:16:15,LNT
00:16:16,00:18:15,Noise
00:18:16,00:20:15,LNT
00:20:16,00:22:15,Noise
00:22:16,00:24:15,Noise
00:24:16,00:26:15,LNT
00:26:16,00:28:15,MNT
00:28:16,00:30:15,MNT
00:30:16,00:32:15,Noise
00:32:16,00:34:15,Noise
00:34:16,00:36:15,LNT
00:36:16,00:40:15,Noise
00:40:16,00:44:15,MNT
00:44:16,00:46:15,Noise
00:46:16,00:48:15,ENT
00:48:16,00:50:15,ENT
00:50:16,00:54:15,Noise
00:54:16,00:58:15,ENT
00:58:16,00:59:59,LNT
